vua_ID,vua_title,vua_hoten,vua_tuochieu,vua_chucvi,vua_ngaysinh,vua_ngaymat,trieudai_ID,vua_thongtin
47,Trần Hiến Tông,Trần Hiến Tông,,Hoàng đế thứ 6,17/05/1319,11/06/1341,7,"Trần Hiến Tông (chữ Hán: 陳憲宗 17 tháng 5 năm 1319 – 11 tháng 6 năm 1341) là vị hoàng đế thứ sáu của triều đại nhà Trần trong lịch sử Việt Nam, trị vì trong 13 năm (1329 - 1341).| Hiến Tông tuy cai trị trên danh nghĩa nhưng việc điều khiển triều chính đều do Thái thượng hoàng Trần Minh Tông xử lý. Trong thời gian này, Thượng hoàng dấy binh đi dẹp loạn Ngưu Hống ở Đà Giang, đánh quân Ai Lao xâm phạm bờ cõi."
48,Trần Dụ Tông,Trần Dụ Tông,,Hoàng đế thứ 7,22/11/1336,25/05/1369,7,"Trần Dụ Tông (chữ Hán: 陳裕宗) 22 tháng 11 năm 1336 – 25 tháng 5 năm 1369) là vị hoàng đế thứ 7 của triều đại nhà Trần nước Đại Việt, ở ngôi 28 năm từ năm 1341 đến năm 1369.| Dụ Tông là con thứ 10 của vua Trần Minh Tông và là em của vua Trần Hiến Tông. Năm 1341, vua Trần Hiến Tông mất sớm, Thượng hoàng Minh Tông đón Dụ Tông lập làm vua. Nhà vua mới 5 tuổi nên Thượng hoàng quyết định mọi việc, chính sự ban đầu khá tốt đẹp. Sau khi Thượng hoàng qua đời, Dụ Tông đích thân chấp chính. Tuy hăng hái về chính sự, nhưng Dụ Tông lại thích hưởng lạc nhiều, xây dựng nhiều cung điện, thích đánh bạc, nuôi chim thú lạ khắp nơi, trong cung lại hiện ra khung cảnh hào hoa tráng lệ khác thường. Cơ nghiệp nhà Trần từ đây suy yếu. Vì mải chơi bời nên nhà vua sức khỏe kém, mất mà không có con nối, đến nỗi truyền ngôi cho Trần Nhật Lễ, con nuôi của cố Cung Túc vương Trần Nguyên Dục (anh Dụ Tông). Nhật Lễ định đổi sang họ Dương thì bị con thứ ba của Minh Tông là Trần Phủ lật đổ và giết chết."
49,Dương Nhật Lễ,Trần Nhật Lễ,,Hoàng đế thứ 8,1349,07/12/1370,7,"Dương Nhật Lễ hay còn gọi là Trần Nhật Lễ (chữ Hán: 楊日禮 1349 – 7 tháng 12 năm 1370), tên ngoại giao với Trung Quốc là Trần Nhật Kiên (陳日熞), còn gọi Hôn Đức Công (昏德公), là hoàng đế thứ 8 của Vương triều Trần nước Đại Việt. Ông nguyên là con trai ruột của người họ Dương, được Cung Túc Vương Trần Nguyên Dục – anh vua Trần Dụ Tông nhận làm con nuôi. Trần Dụ Tông không có con nên khi chết có di chiếu truyền ngôi cho Nhật Lễ. Ông lên ngôi, lấy các anh, em khác mẹ của Dụ Tông làm Tể tướng, trị vì từ ngày 15 tháng 6 năm Kỷ Dậu (tức 18 tháng 7 năm 1369) đến ngày 13 tháng 11 năm Canh Tuất (tức 1 tháng 12 năm 1370).| Ông cai trị hơn một năm, được cho là bỏ bê triều chính, lại định đổi sang họ Dương nên bị hoàng tộc chống đối, đưa đến 2 cuộc đảo chính do các tôn thất nhà Trần lãnh đạo. Đầu tiên, tháng 9 âm lịch năm 1370, Thái tể Cung Tĩnh Vương  Trần Nguyên Trác làm binh biến, nhưng bị Nhật Lễ đánh bại và giết chết. Hai tể tướng tôn thất còn lại là Thái sư Cung Định vương Trần Phủ, Hữu Tướng quốc Cung Tuyên vương Trần Kính chạy ra Đà Giang, tập họp lực lượng đảo chính lần hai. Dương Nhật Lễ bị truất ngôi và bắt giam, sau bị đánh chết. Giống như trường hợp vua Thiên Hưng nhà Lê sơ (Lê Nghi Dân), Dương Nhật Lễ tuy đã có thời gian làm quốc chủ, nhưng không được các bộ chính sử Đại Việt thời Trần–Hồ–Lê (trong đó bộ sách sớm nhất còn sót lại là Đại Việt sử ký toàn thư) công nhận là vua chính thống của nhà Trần."
50,Trần Nghệ Tông,Cung Định Vương Trần Phủ,,Hoàng đế thứ 9,20/12/1321,06/01/1395,7,"Trần Nghệ Tông (chữ Hán: 陳藝宗) (20 tháng 12 năm 1321 – 6 tháng 1 năm 1395), tên húy là Cung Định Vương Trần Phủ (陳暊) hoặc Trần Thúc Minh (陳叔明), xưng hiệu Nghệ Hoàng (藝皇), tôn hiệu Thể khiên kiến cực thuần hiếu hoàng đế (體天建極純孝皇帝), là vị hoàng đế thứ 9 của nhà Trần nước Đại Việt. Ông giữ ngôi 2 năm (1370–1372), ở ngôi Thái thượng hoàng hơn 20 năm (1372–1394). Do trọng dụng ngoại thích Hồ Quý Ly, ông đã tạo cho Quý Ly cơ hội phát triển thế lực tiến đến giành ngôi nhà Trần sau khi ông qua đời."
51,Trần Duệ Tông,Trần Kính,,Hoàng đế thứ 10,30/06/1337,04/03/1377,7,"Trần Duệ Tông (chữ Hán: 陳睿宗, 30 tháng 6 năm 1337 – 4 tháng 3 năm 1377) tên thật là Trần Kính là vị hoàng đế thứ 10 của triều đại nhà Trần trong lịch sử Việt Nam. Ông trị vì từ năm 1372 đến khi tử trận vào năm 1377. Trần Duệ Tông là vị hoàng đế duy nhất trong lịch sử Việt Nam bị tử trận khi đương quyền. Xét trong 7 thế kỷ Chiến tranh Việt-Chiêm, ông cũng là vị Hoàng đế duy nhất bị tử trận khi đánh nhau với quân Chiêm Thành.| Trần Duệ Tông Hoàng đế có lòng dũng cảm, mong muốn chấn hưng Đại Việt đã bị tàn phá và suy yếu dưới thời Trần Dụ Tông, Dương Nhật Lễ, muốn trấn áp kẻ thù từ thời khai quốc của Đại Việt là Chiêm Thành. Nhưng vì ông quá nóng vội đánh bại kẻ địch mà ông xem là yếu ớt, nhược tiểu nên bị bại trận. Do ông là tấm bình phong lớn nhất cho dòng tộc nhà Trần khi đó, việc ông bị tử trận khiến Thượng hoàng Trần Nghệ Tông khiếp đảm, sau này hễ Chế Bồng Nga bắc tiến là cùng Hồ Quý Ly bỏ kinh thành chạy dài. Trận thua lớn ở Đồ Bàn khiến thế nước Đại Việt suy kém, những người kế vị đều vô tài, nhà Trần ngày càng suy."
52,Trần Phế Đế (Đại Việt),Trần Phế Đế (Đại Việt),Giản Hoàng,Hoàng đế thứ 10,06/03/1361,06/12/1388,7,"Trần Phế Đế (chữ Hán: 陳廢帝; 6 tháng 3 năm 1361 – 6 tháng 12 năm 1388), hiệu Giản Hoàng (簡皇), là vị hoàng đế thứ 10 của nhà Trần nước Đại Việt. Ông ở ngôi từ năm 1377 đến khi bị phế vào năm 1388, tổng cộng hơn 10 năm trị vì.  | Trần Phế Đế là con thứ của vua Trần Duệ Tông và là cháu gọi Thái thượng hoàng Trần Nghệ Tông bằng bác. Năm 1377, Duệ Tông thân đi đánh Chiêm Thành, bị thua chết. Nghệ Tông lập Phế Đế lên làm vua. Trong suốt thời gian Phế Đế ở ngôi, Thượng hoàng Trần Nghệ Tông nắm thực quyền cai trị quốc gia. Hai vua phải chống đối với nhiều cuộc xâm lược của Chiêm Thành, bấy giờ rất hùng mạnh dưới tay vua Chế Bồng Nga, và những yêu sách của nhà Minh mới thành lập bên Trung Quốc. Trong triều đình, Trần Nghệ Tông tin yêu người anh họ bên ngoại là Lê Quý Ly nên giao cho quyền lực ngày càng lớn. Chính vì lo ngại thế lực của Lê Quý Ly, Phế Đế đã gầy dựng phe cánh chống đối và cuối cùng thất bại, bị Nghệ Tông thắt cổ chết."
53,Trần Thuận Tông,Trần Thuận Tông,,Hoàng đế thứ 12,1377,30/04/1400,7,"Trần Thuận Tông (chữ Hán: 陳順宗 1377 – 30 tháng 4 năm 1400) là vị hoàng đế thứ 12 và cũng là hoàng đế áp chót của triều Trần nước Đại Việt. Ông trị vì từ năm 1388 đến khi bị ép nhường ngôi năm 1398.| Thuận Tông nguyên là con út của Thượng hoàng Trần Nghệ Tông, có tước Chiêu Định vương. Năm 1388, Thượng hoàng nghe lời người họ ngoại là Thái sư Lê Quý Ly bức tử vua Trần Phế Đế (cháu gọi Nghệ Tông bằng bác), lập con mình là Chiêu Định vương lên ngôi. Thuận Tông ở ngôi 11 năm nhưng chỉ ngồi giữ ngôi, chưa bao giờ nắm thực quyền trị nước. Mọi việc trong ngoài đều do Nghệ Tông an bài. Tuy nhiên trên thực tế, những ý kiến sắp đặt đó đều chịu ảnh hưởng từ Lê Quý Ly. Quý Ly, nhờ sự chống lưng của Nghệ Tông, đã cứng rắn loại bỏ những người chống đối, trong đó có nhiều thân vương, sĩ phu. Bên ngoài, triều đình phải đối mặt với nhiều cuộc khởi nghĩa của dân chúng và sự xâm lược của Chiêm Thành, tình hình chỉ tạm yên năm 1390 khi tướng Trần Khát Chân đánh tan quân Chiêm ở Hải Triều. Vua Chiêm Chế Bồng Nga chết tại trận. | Năm 1394, Thượng hoàng băng, Lê Quý Ly nắm toàn bộ quyền bính, ép Thuận Tông dời đô từ Thăng Long về Tây Đô, đồng thời thực hiện một số cải cách về khoa cử, ruộng đất, tài chính. Năm 1398, Quý Ly ép Thuận Tông nhường ngôi cho Thái tử An (2 tuổi) rồi đi tu Đạo giáo, đến năm 1400 sai người giết Thuận Tông. Một năm sau cái chết của Thuận Tông, Quý Ly chính thức phế bỏ nhà Trần, lập ra triều Hồ."
54,Trần Thiếu Đế,Trần Thiếu Đế,,Hoàng đế thứ 13,1396,1400?,7,"Trần Thiếu Đế (chữ Hán: 陳少帝; 1396 - 1400?) là vị hoàng đế thứ 13 và là vị hoàng đế cuối cùng của triều đại nhà Trần trong lịch sử Việt Nam.| Lúc Thiếu Đế lên ngôi, Thượng hoàng Trần Nghệ Tông đã băng hà, quyền thần Hồ Quý Ly, cũng là ông ngoại Thiếu Đế, càng nôn nóng muốn tước đoạt ngôi vị họ Trần. Năm 1400, Thiếu Đế bị buộc phải nhường ngôi, sự kiện như Hán Hiến Đế Lưu Hiệp nhường ngôi cho Tào Phi.| Thiếu Đế bị phế nhưng vì là cháu của Hồ Quý Ly nên không bị giết, chỉ bị giáng xuống làm Bảo Ninh Đại vương (保寧大王). Triều đại nhà Trần chính thức bị soán vị sau 175 năm trị vì Đại Việt.| Sau này nhà Minh đem quân sang tiêu diệt nhà Hồ thì số phận của ông không rõ."
55,Trần Thiêm Bình,Trần Thiêm Bình,,,,1406,8,"Trần Thiêm Bình (陳添平, ? – 1406)  là nhân vật gây nhiều tranh cãi trong lịch sử ,không rõ xuất thân cụ thể và là nhân vật chính trị cuối thời Trần tới thời Hồ trong lịch sử Việt Nam. Ông kêu gọi nhà Minh mang quân đánh nhà Hồ và cuối cùng bị nhà Hồ tiêu diệt."
56,Giản Định Đế,Trần Ngỗi,,Hoàng đế,1375,1410,7,"Giản Định Đế (chữ Hán: 簡定帝; 1375 – 1410) là vị hoàng đế khai lập nhà Hậu Trần trong lịch sử Việt Nam. Ông tên thật là Trần Ngỗi (陳頠), sinh tại kinh đô Thăng Long, (nay là Hà Nội). Có tài liệu phiên âm tên ông là Quỹ. Ông ở ngôi từ năm 1407 đến năm 1409, sau đó làm Thái thượng hoàng cho tới khi mất năm 1410.| Trần Ngỗi nguyên là con của Trần Nghệ Tông, vua thứ 9 nhà Trần. Năm 1400 nhà Hồ soán ngôi nhà Trần, đến năm 1407 nước Việt bị người Minh đô hộ. Trần Ngỗi về Mô Độ (Ninh Bình), do là hậu duệ vua Trần nên được thổ hào vùng này là Trần Triệu Cơ tôn làm hoàng đế (hiệu là Giản Định Đế), tụ tập quân khởi nghĩa nhằm đánh đuổi quân Minh, khôi phục nhà Trần (sử gọi là triều Hậu Trần). Ông cùng Quốc công Đặng Tất tiến quân ra Bắc, đánh bại quân Minh trong trận Bô Cô (1408). Sau đó, nhà vua muốn đánh thần tốc Đông Đô, nhưng Đặng Tất không theo, chia quân vây các thành giữa Bô Cô với Đông Đô. Giản Định Đế nghe lời ly gián, bèn giết Đặng Tất và Nguyễn Cảnh Chân; các con của 2 người này là Đặng Dung, Nguyễn Cảnh Dị bất bình vào Nghệ An lập Trần Quý Khoáng lên ngôi, tức Trùng Quang Đế. Quân Trùng Quang đế đánh úp bắt Giản Định đế về Nghệ An, Trùng Quang đế tôn ông làm Thái thượng hoàng. Không lâu sau, Thượng hoàng thua trận và bị quân Minh bắt giết.| Tuy thất bại nhưng Trần Ngỗi và Trần Quý Khoáng vẫn được các bộ sử sau này của nước Đại Việt coi là vị vua chính thống nối nghiệp nhà Trần, được nhân dân phối thờ trong đền Trần (nơi thờ các vua nhà Trần). Hiện nay, bộ sử chủ yếu còn sót lại viết về sự nghiệp Giản Định đế là Đại Việt Sử ký Toàn thư, biên soạn năm 1479 bởi sử thần Ngô Sĩ Liên triều Lê Thánh Tông. Các bộ sử sau này như Việt sử tiêu án và Khâm định Việt sử Thông giám Cương mục hầu như chỉ chép lại từ Ngô Sĩ Liên."
57,Trùng Quang Đế,Trần Quý Khoáng,,Hoàng đế thứ 2,,03/05/1414,7,"Trùng Quang Đế (chữ Hán: 重光帝 ? – 3 tháng 5 năm 1414) là vị hoàng đế thứ hai và là vị hoàng đế cuối cùng của nhà Hậu Trần, một triều đại được dựng lên ở miền nam Đại Việt để chống lại sự đô hộ của đế quốc Minh sau năm 1407. Ông có tên húy là Trần Quý Khoáng (陳季擴) hay Trần Quý Khoách, là cháu nội của Trần Nghệ Tông. Khi chú ông là Giản Định Đế dựng nhà Hậu Trần (1407), ông giữ chức Nhập nội thị trung. Năm 1408, các tướng Đặng Dung và Nguyễn Cảnh Dị bất bình với Giản Định Đế mới vào Nghệ An lập Trần Quý Khoáng lên ngôi vua. Trần Quý Khoáng tôn Giản Định Đế làm Thái thượng hoàng, cùng tiến quân ra bắc đánh Minh, đến năm 1409, Thượng hoàng bị địch bắt giết.| Trong suốt thời gian giữ ngôi, Trùng Quang Đế cùng các tể thần Đặng Dung, Nguyễn Cảnh Dị và Nguyễn Súy đã tận lực chiến đấu chống quân đội Minh do Anh quốc công Trương Phụ chỉ huy. Các ông từng đánh bại quân Minh ở La Châu, Hạ Hồng, nhân đà truy kích tới tận Bình Than, nhưng cuối cùng bị thiệt hại nặng, phải lui về Nghệ An và Hóa Châu. Sau trận thư hùng đẫm máu ở kênh Thái Đà năm 1413, lực lượng Hậu Trần tan vỡ, Trùng Quang Đế chạy sang Lão Qua nhưng bị Trương Phụ bắt giữ. Tháng 4 năm 1414, trên đường áp giải về Đại Minh, Trùng Quang Đế trầm mình xuống biển tự tử. Nhà Trần diệt vong.| Tuy thất bại nhưng Trần Ngỗi và Trần Quý Khoáng vẫn được các bộ sử sau này của nước Đại Việt coi là vị vua chính thống nối nghiệp nhà Trần, được nhân dân phối thờ trong đền Trần (nơi thờ các vua nhà Trần). Sử thần đời Hậu Lê Ngô Sĩ Liên trong bộ Đại Việt sử ký toàn thư (hoàn tất năm 1479) đã ca ngợi tấm gương của Trùng Quang Đế là ""quốc quân chết vì xã tắc""."
58,Trần Cảo (vua),Trần Cảo (vua),,,,1428,,Trần Cảo (chữ Hán: 陳暠; ?-1428) là một vị vua bù nhìn do thủ lĩnh nghĩa quân Lam Sơn là Lê Lợi lập nên vào cuối thời kỳ Việt Nam nội thuộc triều đại nhà Minh.
59,Hồ Quý Ly,Hồ Quý Ly,,Hoàng đế đầu tiên,1336,1407,,"Hồ Quý Ly (chữ Hán: 胡季犛; 1336 – 1407), tên chữ Nhất Nguyên (一元), là vị hoàng đế đầu tiên của nhà nước Đại Ngu trong lịch sử Việt Nam. Ông ở ngôi vị Hoàng đế từ năm 1400 đến năm 1401 tự xưng là Quốc Tổ Chương Hoàng (國祖章皇), sau đó giữ ngôi Thái thượng hoàng từ năm 1401 đến năm 1407.| Hồ Quý Ly được xem là một nhà cải cách trong lịch sử Việt Nam và cũng là một nhân vật gây tranh cãi với những luồng ý kiến khen chê khác nhau. Các sử gia hiện đại đánh giá ông là người có đầu óc mạnh dạn, muốn xoay chuyển thời thế, nhưng khi thực hiện lại mắc nhiều sai lầm, làm mất lòng dân dẫn đến hoạ mất nước. Hồ Quý Ly để lại bài học cho lịch sử nhiều hơn là cái ông làm cho lịch sử.| Thời niên thiếu, Hồ Quý Ly theo học võ, gia nhập chốn quan trường triều Trần sau khi đỗ thi Hương, khoa Hoành từ. Hồ Quý Ly có hai người cô ruột là vợ của vua Trần Minh Tông, một người sinh ra vua Trần Nghệ Tông còn người kia sinh ra Trần Duệ Tông, do đó ông được sự tín nhiệm khi Trần Nghệ Tông lên làm vua. Năm 1372, ông được phong làm Tham mưu quân sự. Năm 1377, vua Trần Duệ Tông đánh Chiêm Thành bị tử trận, Hồ Quý Ly kinh hãi, bỏ chạy về trước, nhưng vẫn được tha tội. Năm 1380, Hồ Quý Ly làm Thống lĩnh quân Đại Việt để chống lại các đợt tấn công của Chiêm Thành. Năm 1387, ông được phong làm Tể tướng. Từ đó, ông có quyền lực gần như tuyệt đối trong triều, các tông tộc, quan lại trung thành với họ Trần đã có 2 lần chính biến nhằm lật đổ sự thống trị của Quý Ly nhưng ông đều giành chiến thắng và đã có nhiều người bị hành quyết sau đó.| Năm 1400, Hồ Quý Ly chiếm ngôi nhà Trần, đặt quốc hiệu là Đại Ngu, chưa được 1 năm trao ngôi cho con và làm Thái thượng hoàng nhưng vẫn nắm đại quyền. Hồ Quý Ly đã đề ra những cải cách về hành chính, giáo dục khoa cử, kinh tế, quân sự, trong đó bao gồm việc phát hành tiền giấy và đã chuyển kinh đô từ Thăng Long về Thanh Hóa. Nhưng các cải cách đó phần lớn là thất bại, khiến nhà Hồ mất sự ủng hộ của người dân.| Vế đối ngoại, mười tháng sau khi lên ngôi, ông đã phát binh thảo phạt Chiêm Thành, qua hai lần phát binh, chiếm được hai châu Đại Chiêm và Cổ Lũy (1402). Năm sau (1403), ông còn cho đại quân bao vây Đồ Bàn nhưng không thắng. Đến năm 1406, nhà Minh đưa quân xâm lược Đại Ngu. Do không được lòng dân, binh sỹ bất mãn nên quân nhà Hồ thất bại nhanh chóng, lui dần về phía nam và thất bại toàn cục năm 1407 khi cha con Hồ Quý Ly đều bị quân Minh bắt và giải về Trung Quốc."
60,Hồ Hán Thương,Hồ Hán Thương,,Hoàng đế thứ 2,1383,1407,8,"Hồ Hán Thương (chữ Hán: 胡漢蒼, 1383 – 1407), Minh thực lục và Minh sử ghi Hồ Đê (胡𡗨), là hoàng đế thứ hai và cũng là cuối cùng của nhà Hồ, từ năm 1401 đến khi bị nhà Minh đánh bại vào năm 1407. Ông bị giải về Kim Lăng (Trung Quốc) rồi bị giết."
61,Lê Thái Tổ,Lê Lợi,,Hoàng đế,10/09/1385,05/10/1433,,"Lê Thái Tổ (chữ Hán: 黎太祖 10 tháng 9 năm 1385 – 5 tháng 10 năm 1433), tên thật là Lê Lợi (黎利) là một nhà chính trị, nhà lãnh đạo quân sự, người đã thành lập một đội quân người Việt và lãnh đạo đội quân này chiến đấu chống lại sự chiếm đóng của quân đội nhà Minh từ năm 1418 đến lúc đánh đuổi hoàn toàn quân Minh ra khỏi Đại Việt vào năm 1428 sau đó xây dựng và tái thiết lập đất nước. Ông cũng thành công với các chiến dịch quân sự đánh dẹp các tù trưởng ở biên giới phía Bắc Đại Việt và quân đội Ai Lao bị xúi giục. Ông được coi là anh hùng, vị Hoàng đế huyền thoại của Đại Việt với tài năng quân sự, khả năng cai trị và lòng nhân ái đối với nhân dân.| Lê Lợi sinh ra trong một gia đình hào trưởng tại Thanh Hóa, trưởng thành trong thời kỳ Nhà Minh đô hộ nước Việt. Thời bấy giờ có nhiều cuộc khởi nghĩa của người Việt nổ ra chống lại quân Minh nhưng đều thất bại. Năm 1418, Lê Lợi tổ chức cuộc khởi nghĩa Lam Sơn với lực lượng ban đầu chỉ khoảng vài nghìn người. Thời gian đầu ông hoạt động ở vùng thượng du Thanh Hóa, quân Minh đã huy động lực lượng tới hàng vạn quân để đàn áp, nhưng bằng chiến thuật trốn tránh hoặc sử dụng chiến thuật phục kích và hòa hoãn, nghĩa quân Lam Sơn đã dần lớn mạnh. Năm năm sau (1424), Lê Lợi quyết định đánh vào Nghệ An, Thuận Hóa, liên tục thắng trận rồi trở ra giải phóng Thanh Hóa. Tới năm 1426, quân Lam Sơn đã làm chủ từ Thanh Hóa tới Thuận Hóa, quân Minh chỉ còn co cụm trong các thành Nghệ An, Thuận Hóa và Hà Nội.| Năm 1426, ông cử 3 đạo quân tiến ra Bắc, trong khi nhà Minh cử một lực lượng lớn do Vương Thông chỉ huy sang tiếp viện. Hai cánh quân của Lê Lợi kết hợp với nhau, đánh bại quân Minh ở trận Tốt Động – Chúc Động, ép Vương Thông lui về Đông Quan cố thủ. Nghe tin, Lê Lợi lập tức mang đại quân ra Bắc, tổ chức lại quân đội, phân chia hành chính, ban hành các đạo dụ răn quân lính và nhân dân,... lập thế trận bao vây quân Minh. Nhà Minh lại tiếp tục sai các tướng Liễu Thăng, Mộc Thạnh mang quân sang tiếp viện, Lê Lợi sai quân ngăn chặn và đánh bại hoàn toàn hai đạo quân tiếp viện này. Vương Thông cùng đường phải xin hòa với quân Lam Sơn khi chưa được sự cho phép của triều đình Minh. Bất chấp sự phản đối của tướng lĩnh và dân chúng, Lê Lợi không những cho phép quân Minh được rút lui an toàn mà còn chu cấp vật tư như thuyền bè, tu sửa đường sá,... cho họ. Đến ngày 17 tháng 12 năm 1427 (âm lịch) quân Minh chính thức về nước, Lê Lợi sai Nguyễn Trãi thay mình làm bài Bình Ngô đại cáo báo cáo cho thiên hạ biết về việc quân Minh đã giảng hòa, rút quân về nước, Nam Bắc thôi việc binh đao, thiên hạ đại định.| Năm 1428, lên ngôi vua, Lê Lợi từ điện Tranh ở Bồ Đề vào thành Đông Quan, đại xá thiên hạ, đổi niên hiệu là Thuận Thiên, đặt quốc hiệu là Đại Việt, lấy Đông Kinh làm thủ đô, xưng là Thuận Thiên Thừa Vận Duệ Văn Anh Vũ Đại Vương, hiệu là Lam sơn động chủ, sử gọi là Thái Tổ Cao Hoàng đế, dựng lên hoàng triều Lê (sử Việt Nam hiện đại gọi là nhà Hậu Lê). Lê Lợi đã xây dựng lại khoa cử, luật lệ, kinh tế, chế tác lễ nhạc, đồng thời thu thập lại sách vở, mở mang trường học... làm cho nước Đại Việt được thịnh trị. Ông còn dẹp yên các thổ tù chống đối ở vùng biên viễn phía Tây như Bế Khắc Thiệu, Nông Đắc Thái (châu Thạch Lâm) và Đèo Cát Hãn (châu Mường Lễ), đánh bại một cánh quân Ai Lao sang giúp Hãn.| Ông được các sử gia đánh giá cao ở tài năng chính trị, quân sự, kinh tế, là một trong hai vị thánh trung hưng của dân tộc (người đầu tiên là Ngô Quyền) nhưng một số sử gia hiện đại lại chỉ trích vì cho rằng ông đã làm hại hai trong số gần một trăm công thần được ông phong là Trần Nguyên Hãn và Phạm Văn Xảo. Tuy nhiên, các sử gia Lê Quý Đôn, Trần Quốc Vượng và Tạ Chí Đại Trường cho rằng Trần Nguyên Hãn và Phạm Văn Xảo thực sự đã phạm tội, và Lê Lợi xử tội họ là đúng theo pháp luật. Khi Việt Nam bị người Pháp đô hộ, những người chủ trương khôi phục quốc gia đã coi Lê Lợi và khởi nghĩa Lam Sơn như là hình mẫu, niềm cảm hứng và biểu tượng của sự đoàn kết quốc gia. Phan Bội Châu coi ông là hình ảnh chói lọi của vị vua Trung hưng thứ hai sau Ngô Quyền. Trong Chiến tranh Việt Nam (1945-1975) để đề ra chiến lược đánh Pháp và Mỹ, lãnh tụ của Việt Nam Dân chủ Cộng hòa là Trường Chinh viết cuốn sách Kháng chiến nhất định thắng lợi đã lấy cuộc kháng chiến 10 năm của Lê Lợi làm ví dụ cho việc kháng chiến trường kỳ."
62,Lê Thái Tông,Lê Nguyên Long,,Hoàng đế thứ 2,22/12/1423,07/09/1442,9,"Lê Thái Tông (chữ Hán: 黎太宗 22 tháng 12 năm 1423 – 7 tháng 9 năm 1442), tên húy Lê Nguyên Long (黎元龍), là vị hoàng đế thứ hai của hoàng triều Lê nước Đại Việt. Thái Tông trị vì từ ngày 20 tháng 10 năm 1433 cho tới khi mất năm 1442, tổng cộng 9 năm.| Triều đại của Lê Thái Tông đánh dấu một thời kì thịnh trị trong lịch sử Việt Nam, tiếp nối thành tựu của thời đại Lê Thái Tổ. Thái Tông lên ngôi lúc mới 11 tuổi, nhưng là vị vua thông minh, lại được sự giúp đỡ của các đại thần võ tướng như Lê Sát, Lê Ngân, Trịnh Khả, Đinh Liệt... cùng các văn thần, ngôn quan chịu khó can gián như Phan Thiên Tước, Bùi Cầm Hổ, Nguyễn Thiên Tích,... Nhà vua và các đại thần ổn định xã hội, nghiêm trị tham ô, hoàn thiện hệ thống nghi thức, lễ nhạc của triều đình, tăng cường chỉnh đốn quân đội, chấn hưng giáo dục và đặt lệ 3 năm mở 1 khoa thi lớn trên toàn quốc để tìm ra Nho sĩ có tài, có thể giúp vua cai quản dân sự.| Về đối ngoại, nhà vua giữ quan hệ hòa hiếu với đế quốc Minh-Trung Quốc, mặc dù thời gian cuối triều Thái Tông đã xảy ra một số vụ xung đột, lấn chiếm giữa các thổ quan vùng biên ải hai nước. Cũng trong thời kỳ này, ở phía Tây, một số thổ tù miền biên viễn có Ai Lao chống lưng đã nổi dậy chống hoàng gia. Lê Thái Tông 3 lần đích thân cầm quân đi đánh dẹp mạn tây, bình định châu Phục Lễ, giết được thổ tù Hà Tông Lai, đánh bại Ai Lao và bức hàng thổ tù Nghiễm. Phía Nam, Chiêm Thành từng lăm le xâm lấn Đại Việt khi Thái Tông mới lên ngôi, nhưng sau đó bỏ ý đồ và giữ lễ phiên thần với Đại Việt.| Nhờ các chính sách của Lê Thái Tông, Đại Việt phát triển thịnh đạt, như các sử quan biên soạn Đại Việt Sử ký Toàn thư mô tả: ""...mới có mấy năm mà điển chương văn vật rực rỡ đầy đủ, đất nước đã đổi thay tốt đẹp. Các nước Trảo Oa, Xiêm La, Tam Phật Tề, Chiêm Thành, Mãn Lạt Gia vượt biển sang cống"". Tuy nhiên, nhà vua lại có tính cứng rắn, ép chết Đại tư đồ Lê Sát cùng Đại đô đốc Lê Ngân, hà khắc anh ruột là Quận Ai vương Lê Tư Tề. Năm 1442, Thái Tông mất ở tuổi 20 khi đi tuần miền Đông, làm dấy lên nhiều nghi vấn trong lịch sử, và Hành khiển Nguyễn Trãi vì thế bị kết án tru di, tạo thành vụ án Lệ chi viên nổi tiếng."
